DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
Unknown,Abermain BESS,QLD1,Battery Storage,Scheduled,1.93,Publicly Announced,2029.0,,
QBYNB1,ACT BESS,NSW1,Battery Storage,Scheduled,10.0,In Service,,,
ADPBA1,Adelaide Desalination Plant,SA1,Battery Storage,Scheduled,7.76,In Service,,,
ADVMH1,Adelaide Desalination Plant,SA1,Hydro,Non-scheduled,1.0,In Service,,,
ADPPV2,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
ADPPV1,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Alberton Wind Farm,VIC1,Wind,Semi-scheduled,3.6,Publicly Announced,,,
Unknown,Aldoga BESS Stage 1,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,2027.0,,
ALDGASF1,Aldoga Solar Farm,QLD1,Solar PV,Semi-scheduled,2.47,In Service,2025.0,,
Unknown,Alligator Creek BESS,QLD1,Battery Storage,Scheduled,120.0,Publicly Announced,,,
ANGAST1,Angaston,SA1,Gas Turbine,Scheduled,30.8,In Service,,,
ANGAST1,Angaston,SA1,Gas Turbine,Scheduled,15.4,In Service,,,
APPIN,Appin,NSW1,Gas Turbine,Non-scheduled,1.03,In Service,,,
Unknown,Apsley BESS Project,NSW1,Battery Storage,Scheduled,120.0,Publicly Announced,,,
Unknown,Aquila Wind,NSW1,Wind,Semi-scheduled,200.0,Publicly Announced,,,
Unknown,Aramara Solar Farm,QLD1,Solar PV,Semi-scheduled,4.4,Anticipated,2028.0,,
ARWF1,Ararat Wind Farm,VIC1,Wind,Semi-scheduled,3.2,In Service,,,
Unknown,Ardandra Solar Farm And BESS,QLD1,Battery Storage,Scheduled,3.41,Publicly Announced,2029.0,,
Unknown,Ardandra Solar Farm And BESS,QLD1,Solar PV,Semi-scheduled,3.46,Publicly Announced,2029.0,,
Unknown,Argoon Wind Farm (RES Group) - KCI,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,,,
Unknown,Argyle Solar Farm,NSW1,Solar PV,Semi-scheduled,59.8,Publicly Announced,,,
Unknown,Armidale BESS,NSW1,Battery Storage,Scheduled,150.0,Publicly Announced,2027.0,,
Unknown,Armidale BESS (Elgin),NSW1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,Armidale East BESS,NSW1,Battery Storage,Scheduled,4.2,Publicly Announced,,,
Unknown,Arundel BESS,NSW1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Augusta BESS,SA1,Battery Storage,Scheduled,270.0,Publicly Announced,,,
Unknown,Aurora Solar Energy Project - Phase 1,SA1,Battery Storage,Scheduled,140.0,Publicly Announced,,,
Unknown,Australia Plains Solar Farm,SA1,Solar PV,Semi-scheduled,200.0,Publicly Announced,,,
Unknown,Avenue Road BESS - KCI,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
AVLSF1,Avonlie Solar Farm,NSW1,Solar PV,Semi-scheduled,3.63,In Service,,,
Unknown,Awaba BESS,NSW1,Battery Storage,Scheduled,1.93,Publicly Announced,2028.0,,
Unknown,Axedale SF and BESS,VIC1,Battery Storage,Scheduled,0.78,Anticipated,2028.0,,
Unknown,Axedale SF and BESS,VIC1,Solar PV,Semi-scheduled,3.33,Anticipated,2028.0,,
BDL01,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
BDL02,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
Unknown,Bairnsdale BESS,VIC1,Battery Storage,Scheduled,65.0,Publicly Announced,,,
Unknown,Baking Board BESS (MMT),QLD1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Baking Board Solar Farm (MMT),QLD1,Solar PV,Semi-scheduled,300.0,Publicly Announced,,,
BAKING1,Baking Board Solar Farm Chinchilla,QLD1,Solar PV,Non-scheduled,14.7,In Service,,,
BALDHWF1,Bald Hills Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
Unknown,Baldon Wind Farm,NSW1,Wind,Scheduled,8.0,Publicly Announced,2029.0,,
Unknown,Baldon Wind Farm Stage 2,NSW1,Wind,Semi-scheduled,8.0,Publicly Announced,2029.0,,
Unknown,Baldon Wind Farm Stage 2 - BESS,NSW1,Battery Storage,Scheduled,4.0,Publicly Announced,2030.0,,
Unknown,Ballarat Base Hospital Plant,VIC1,Gas Turbine,Non-scheduled,0.8,In Service,,,
BALB1,Ballarat Energy Storage System,VIC1,Battery Storage,Scheduled,1.77,In Service,,,
Unknown,Banana Range Wind Farm,QLD1,Wind,Semi-scheduled,6.0,Publicly Announced,2029.0,,
BANGOWF1,Bango 973 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BANGOWF2,Bango 999 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BAPS,Banimboola,VIC1,Hydro,Non-scheduled,10.0,In Service,,,
BAPS,Banimboola,VIC1,Hydro,Non-scheduled,2.2,In Service,,,
