DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
QBYNB1,ACT BESS,NSW1,Battery Storage,Scheduled,10.0,In Service,,,
ADPBA1,Adelaide Desalination Plant,SA1,Battery Storage,Scheduled,7.76,In Service,,,
ADVMH1,Adelaide Desalination Plant,SA1,Hydro,Non-scheduled,1.0,In Service,,,
ADPPV2,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
ADPPV1,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
ALDGASF1,Aldoga Solar Farm,QLD1,Solar PV,Semi-scheduled,2.47,In Service,2025.0,,
ANGAST1,Angaston,SA1,Gas Turbine,Scheduled,30.8,In Service,,,
APPIN,Appin,NSW1,Gas Turbine,Non-scheduled,1.03,In Service,,,
ARWF1,Ararat Wind Farm,VIC1,Wind,Semi-scheduled,3.2,In Service,,,
AVLSF1,Avonlie Solar Farm,NSW1,Solar PV,Semi-scheduled,3.63,In Service,,,
BDL01,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
BDL02,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
BAKING1,Baking Board Solar Farm Chinchilla,QLD1,Solar PV,Non-scheduled,14.7,In Service,,,
BALDHWF1,Bald Hills Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
BALB1,Ballarat Energy Storage System,VIC1,Battery Storage,Scheduled,1.77,In Service,,,
BANGOWF1,Bango 973 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BANGOWF2,Bango 999 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BAPS,Banimboola,VIC1,Hydro,Non-scheduled,10.0,In Service,,,
BANN1,Bannerton Solar Park,VIC1,Solar PV,Semi-scheduled,2.5,In Service,,,
BARCALDN,Barcaldine Power Station,QLD1,Gas Turbine,Scheduled,37.0,In Service,,,
BARCSF1,Barcaldine Remote Community Solar Farm,QLD1,Solar PV,Non-scheduled,2.0,In Service,,,
BARKIPS1,Barker Inlet Power Station,SA1,Gas Turbine,Scheduled,17.5,In Service,,,
BARRON-1,Barron Gorge,QLD1,Hydro,Scheduled,35.0,In Service,,,
